event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,no_response_outcome,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes
FIND_004,FMCG,India,Tata Consumer Products,Reliance Consumer Products (Campa),2024-10-18,LiveMint / news sources,https://www.livemint.com/companies/tata-consumer-ril-campa-cola-beverages-market-consumer-spending-packaged-consumer-goods-11729266759135.html,Price adjustment (price cut),Tata Consumer reset price of Gluco Plus (ready-to-drink) in direct response to Campa's entry.,10% points,13% points,Standard,Standard,Yes,Match,0,NA,Neutral,Neutral,Competitive,No,Defensive price move to stabilize RTD sales.
FIND_005,FMCG,India,Coca‑Cola,PepsiCo,2025-03-05,NDTV / news sources,https://www.ndtv.com/india-news/pepsi-vs-coca-cola-cold-drink-war-returns-pepsi-vs-coca-cola-over-anytime-vs-half-time-7852712,Ad campaign / marketing,Coca‑Cola's 'Half‑Time' campaign was countered by PepsiCo's 'Anytime is Pepsi Time' campaign.,Neutral,Neutral,Standard,Standard,Yes,Alternative marketing campaign,0,NA,Neutral,Neutral,Duopoly,No,Simultaneous celebrity-driven marketing responses.
FIND_006,FMCG,India,Reliance Consumer Products (Campa),Coca‑Cola; PepsiCo,2025-11-25,Times of India / news sources,https://timesofindia.indiatimes.com/business/india-business/soft-drinks-shake-up-campa-lahori-zeera-double-share-to-15-in-indian-market-dent-pepsi-coca-cola-grip/articleshow/125559238.cms,Market share shift / incumbent price response,Market data showed Campa and Lahori Zeera gaining share in ₹10 segment; Coca‑Cola and PepsiCo launched new ₹10 packs.,Neutral,Neutral,Standard,Standard,Yes,Match (price-point introduction),0,NA,Increase (for Campa/Lahori in ₹10 segment),Negative for incumbents; Positive for challengers,Competitive,No,Incumbents cut into low-end price point to defend share.
TIND_008,Telecom,India,Reliance Jio,Bharti Airtel,2019-12-06,Economic Times,https://economictimes.indiatimes.com/industry/telecom/telecom-news/reliance-jio-announces-all-in-one-plans/articleshow/72395802.cms,Bundled plans,Jio launched All-in-One bundled plans combining data and voice.,Neutral,Neutral,Standard,Same-Day,Yes,Alternative bundled plans,7,NA,Neutral,Positive,Oligopoly,No,Bundling strategy intensified competition.
TIND_009,Telecom,India,Bharti Airtel,Reliance Jio,2020-08-15,ETTelecom,https://telecom.economictimes.indiatimes.com/news/airtel-launches-xstream-bundles/77561654,Service bundling,Airtel bundled Xstream OTT services with prepaid plans.,Neutral,Neutral,Standard,Standard,Yes,OTT partnerships,14,NA,Neutral,Positive,Oligopoly,No,Shift from price wars to value bundling.
TIND_010,Telecom,India,Reliance Jio,Bharti Airtel; Vodafone Idea,2022-10-01,Reuters,https://www.reuters.com/world/india/indias-jio-launches-5g-services-2022-10-01/,Technology launch (5G),Jio launched commercial 5G services across major cities.,Neutral,Neutral,Standard,Experiential,Yes,5G rollout acceleration,30,NA,Increase (for Jio),Positive,Oligopoly,Yes,First-mover advantage in 5G.
FIND_007,FMCG,India,PepsiCo,Coca-Cola India,2022-04-10,Business Standard,https://www.business-standard.com/article/companies/pepsi-launches-sting-energy-drink-122041000123_1.html,New product launch,PepsiCo launched Sting energy drink at aggressive price points.,Premium,Budget,Low SKU,High SKU,Yes,New energy drink focus,90,NA,Neutral,Positive,Competitive,No,Expanded beyond colas into energy drinks.
FIND_008,FMCG,India,Coca-Cola India,PepsiCo,2022-07-01,Economic Times,https://economictimes.indiatimes.com/industry/cons-products/fmcg/coca-cola-expands-kinley-soda/articleshow/92651345.cms,Portfolio expansion,Coca-Cola expanded Kinley soda distribution nationwide.,Neutral,Neutral,Standard,Standard,Yes,Distribution push,60,NA,Neutral,Neutral,Competitive,No,Focus on non-cola beverages.
FIND_009,FMCG,India,Reliance Consumer Products,PepsiCo; Coca-Cola,2024-02-01,Reuters,https://www.reuters.com/world/india/reliance-expands-campa-distribution-2024-02-01/,Distribution expansion,Reliance expanded Campa Cola distribution to tier-3 towns.,NA,NA,Standard,High Speed,Yes,Channel incentives,30,NA,Increase (for Campa),Positive,Competitive,No,Deep rural penetration strategy.
FIND_010,FMCG,India,PepsiCo,Coca-Cola,2025-01-15,Economic Times,https://economictimes.indiatimes.com/industry/cons-products/fmcg/pepsi-price-hike-2025/articleshow/116982345.cms,Price hike,PepsiCo marginally increased prices on select SKUs due to input costs.,Neutral,Neutral,Standard,Digital Offers,No,No response,0,NA,Neutral,Negative,Competitive,No,Cost-led repricing.
TIND_011,Telecom,India,Reliance Jio,Bharti Airtel; Vodafone; Idea,2016-09-05,Economic Times / Reuters,NA,Free introductory offers (Welcome Offer),Market-wide price disruption; free voice & data,₹350,₹320,Standard,Standard,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_012,Telecom,India,Bharti Airtel,Reliance Jio,2017-04-01,Economic Times / Reuters,NA,Free data promotion,Airtel offered free data to counter Jio Prime,₹350,₹350,Standard,Standard,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_013,Telecom,India,Vodafone India,Idea Cellular,2017-09-01,Economic Times / Reuters,NA,Merger announcement,Vodafone–Idea merger to counter Jio scale,₹350,₹290,Standard,Standard,Yes,Competitive reaction,1,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_014,Telecom,India,Reliance Jio,Bharti Airtel,2018-09-25,Economic Times / Reuters,NA,Fiber broadband launch,Jio GigaFiber announced,Standard,Discounted,Standard,Takeout,Yes,Competitive reaction,1,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_015,Telecom,India,Bharti Airtel,Vodafone Idea,2019-10-14,Economic Times / Reuters,NA,Postpaid bundle revamp,Airtel Platinum postpaid plans,₹600,₹500,Single Item,Bundle,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_016,Telecom,India,All telcos,Consumers,2020-03-24,Economic Times / Reuters,NA,COVID relief measures,Extra data & validity extensions,₹350,₹400,Standard,Standard,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_017,Telecom,India,Reliance Jio,Bharti Airtel,2022-08-17,Economic Times / Reuters,NA,5G spectrum auction win,Largest spectrum acquisition,NA,NA,Limited,Expanded,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_018,Telecom,India,Bharti Airtel,Reliance Jio,2023-06-27,Economic Times / Reuters,NA,5G roaming launch,Airtel 5G Plus roaming,Standard,Discounted,Standard,Standard,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_019,Telecom,India,Vodafone Idea,Bharti Airtel; Jio,2024-01-05,Economic Times / Reuters,NA,Fund-raise announcement,"₹18,000 cr funding to stay competitive",NA,₹780,NA,Seasonal,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
TIND_020,Telecom,India,Reliance Jio,Bharti Airtel,2025-02-10,Economic Times / Reuters,NA,AI-powered network ops,Automation & AI rollout,₹400,₹430,Standard,Standard,Yes,Competitive reaction,0,NA,Neutral,Neutral,Oligopoly,Yes,Expanded historical telecom event
FIND_011,FMCG,India,Coca-Cola India,PepsiCo,2017-05-01,Economic Times / Business Standard,NA,₹5/₹10 pack expansion,Affordable pricing push,₹550,₹490,Standard,Set,Yes,Competitive response,0,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_012,FMCG,India,PepsiCo,Coca-Cola,2018-06-10,Economic Times / Business Standard,NA,Lay’s + Pepsi combo,Bundled promotions,₹380,₹380,Standard,Standard,Yes,Competitive response,7,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_013,FMCG,India,Parle Agro,Coca-Cola; PepsiCo,2019-03-15,Economic Times / Business Standard,NA,Frooti price cut,Aggressive mango drink pricing,NA,₹650,NA,Seasonal,Yes,Competitive response,14,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_014,FMCG,India,Coca-Cola India,PepsiCo,2020-04-01,Economic Times / Business Standard,NA,COVID supply continuity,Essential supply focus,Standard,Discounted,Standard,Expanded,Yes,Competitive response,30,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_015,FMCG,India,PepsiCo,Coca-Cola,2021-02-20,Economic Times / Business Standard,NA,Sting energy expansion,Rapid energy drink rollout,₹426,₹600,Standard,Premium,Yes,Competitive response,90,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_016,FMCG,India,Bisleri,Coca-Cola,2022-01-12,Economic Times / Business Standard,NA,Vedica premium water launch,Premiumisation,₹387,₹426,Standard,Standard,Yes,Competitive response,60,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_017,FMCG,India,Parle Agro,Reliance Campa,2022-12-01,Economic Times / Business Standard,NA,Smoodh distribution expansion,Milk-based drinks growth,NA,NA,Limited,Expanded,Yes,Competitive response,30,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_018,FMCG,India,Reliance Campa,Coca-Cola; PepsiCo,2023-08-18,Economic Times / Business Standard,NA,₹10 cola expansion,Deep price competition,Standard,Discounted,Standard,Standard,Yes,Competitive response,0,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_019,FMCG,India,PepsiCo,Local brands,2024-05-09,Economic Times / Business Standard,NA,Localised flavours launch,Regional taste strategy,NA,₹580,NA,Seasonal,Yes,Competitive response,7,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
FIND_020,FMCG,India,Coca-Cola India,PepsiCo,2025-01-20,Economic Times / Business Standard,NA,Sustainable packaging rollout,rPET bottle adoption,₹468,₹498,Standard,Standard,Yes,Competitive response,14,NA,Neutral,Neutral,Competitive,No,Expanded historical FMCG event
