event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes,response_observed_bin,regulatory_sensitivity_bin,response_lag_days_num,price_before_type,price_after_type,quantity_after_code,crisis_event
EJP_ELEC_011,electronics retail,Japan,Yodobashi Camera,BIC Camera,2018-11-20,Nikkei Asia,https://asia.nikkei.com/Yodobashi-points,loyalty incentive,Yodobashi increased reward points for year-end season.,10% points,13% points,Standard,standard,Yes,matched points campaign,7.0,Neutral,positive,oligopoly,No,Points-based competition dominant.,1,0,7.0,10% points,13% points,1.0,False
EJP_ELEC_012,electronics retail,Japan,Yodobashi Camera,BIC Camera,2019-06-15,Japan Times,https://www.japantimes.co.jp/yodobashi-summer-sale,price promotion,Summer electronics sale with selective discounts.,Neutral,Neutral,Standard,standard,Yes,discount response,10.0,Neutral,positive,oligopoly,No,Seasonal promotion.,1,0,10.0,neutral,neutral,1.0,False
EJP_ELEC_013,electronics retail,Japan,Yodobashi Camera,BIC Camera,2019-12-10,Nikkei Asia,https://asia.nikkei.com/Yodobashi-winter,price promotion,Intensified winter discounting across appliances.,Neutral,Neutral,Standard,standard,Yes,price matching,8.0,Neutral,positive,oligopoly,No,End-year rivalry.,1,0,8.0,neutral,neutral,1.0,False
EJP_ELEC_014,electronics retail,Japan,Yodobashi Camera,BIC Camera,2020-06-01,Mainichi,https://mainichi.jp/yodobashi-delivery,service enhancement,Expanded same-day delivery coverage.,Neutral,Neutral,Standard,same-day,Yes,service upgrade,21.0,Increase (Yodobashi),positive,oligopoly,No,Service-based competition.,1,0,21.0,neutral,neutral,,False
EJP_ELEC_015,electronics retail,Japan,Yodobashi Camera,BIC Camera,2020-11-30,Nikkei Asia,https://asia.nikkei.com/Yodobashi-black-friday,price promotion,Participated aggressively in Black Friday sales.,Neutral,Neutral,Standard,standard,Yes,promotional match,7.0,Neutral,positive,oligopoly,No,Global sales-event influence.,1,0,7.0,neutral,neutral,1.0,False
EJP_ELEC_016,electronics retail,Japan,Yodobashi Camera,BIC Camera,2021-09-12,Japan Times,https://www.japantimes.co.jp/yodobashi-store-renewal,store upgrade,Renovated flagship stores with experiential layouts.,Neutral,Neutral,Standard,experiential,No,brand perception improved,,Neutral,positive,oligopoly,No,Experience-led differentiation.,0,0,,neutral,neutral,,False
EJP_ELEC_017,electronics retail,Japan,Yodobashi Camera,BIC Camera,2022-03-18,Nikkei Asia,https://asia.nikkei.com/Yodobashi-private-label,product strategy,Expanded private-label electronics accessories.,Premium,Budget,Low SKU,high sku,No,competitive price pressure,,Neutral,neutral,oligopoly,No,Assortment-based strategy.,0,0,,premium,budget,,False
EJP_ELEC_018,electronics retail,Japan,Yodobashi Camera,BIC Camera,2022-12-05,Japan Times,https://www.japantimes.co.jp/yodobashi-year-end,price promotion,Ran aggressive year-end sales campaign.,Neutral,Neutral,Standard,standard,Yes,discount response,10.0,Neutral,positive,oligopoly,No,Seasonal pricing.,1,0,10.0,neutral,neutral,1.0,False
EJP_ELEC_019,electronics retail,Japan,Yodobashi Camera,BIC Camera,2023-06-25,Nikkei Asia,https://asia.nikkei.com/Yodobashi-logistics,logistics investment,Invested in warehouse automation/delivery speed.,,,Standard,high speed,No,service advantage strengthened,,Increase (Efficiency),positive,oligopoly,No,Long-term competitive moat.,0,0,,missing,missing,4.0,False
EJP_ELEC_020,electronics retail,Japan,Yodobashi Camera,BIC Camera,2024-02-01,Economic Times JP,https://economictimes.indiatimes.com/japan/yodobashi-digital,digital promotion,Expanded app-based personalized offers.,Neutral,Neutral,Standard,digital offers,Yes,digital promotion response,15.0,Neutral,positive,oligopoly,No,Data-driven promotions.,1,0,15.0,neutral,neutral,,False
JPN_QSR_001,food service,Japan,Sukiya,Yoshinoya,2018-07-10,Nikkei Asia,https://asia.nikkei.com/Sukiya-price-cut,price reduction,Sukiya reduced gyudon prices nationwide.,¥350,¥320,Standard,standard,Yes,price response,10.0,Increase (Sukiya),positive,oligopoly,No,Price-led volume strategy.,1,0,10.0,numeric,numeric,1.0,False
JPN_QSR_002,food service,Japan,Sukiya,Yoshinoya,2019-10-01,Japan Times,https://www.japantimes.co.jp/consumption-tax-food,price adjustment,Adjusted menu prices for 10% tax hike.,¥350,¥350,Standard,standard,Yes,parallel price move,0.0,Neutral,neutral,oligopoly,Yes,Unified tax-inclusive pricing.,1,1,0.0,numeric,numeric,1.0,True
JPN_QSR_003,food service,Japan,Sukiya,Yoshinoya,2019-09-15,Nikkei Asia,https://asia.nikkei.com/Sukiya-limited-menu,menu promotion,Launched limited-time beef bowl discounts.,¥350,¥290,Standard,standard,No,increased footfall,,Neutral,positive,oligopoly,No,Promotional differentiation.,0,0,,numeric,numeric,1.0,False
JPN_QSR_004,food service,Japan,Sukiya,Yoshinoya,2020-04-20,Mainichi,https://mainichi.jp/sukiya-takeout,covid response,Expanded takeout discounts during lockdowns.,Standard,Discounted,Dine-in,takeout,Yes,matching takeout offers,7.0,Neutral,positive,oligopoly,No,Pandemic response.,1,0,7.0,standard,discounted,,False
JPN_QSR_005,food service,Japan,Sukiya,Yoshinoya,2021-01-15,Japan Times,https://www.japantimes.co.jp/sukiya-menu,menu expansion,Introduced value meal bundles (lunch sets).,¥600,¥500,Single Item,bundle,No,value perception improved,,Neutral,positive,oligopoly,No,Value strategy.,0,0,,numeric,numeric,2.0,False
JPN_QSR_006,food service,Japan,Sukiya,Yoshinoya,2021-10-01,Nikkei Asia,https://asia.nikkei.com/Sukiya-price-hike,price increase,Raised prices due to beef cost inflation.,¥350,¥400,Standard,standard,Yes,delayed price hike,30.0,Neutral,negative,oligopoly,Yes,Cost-push inflation.,1,1,30.0,numeric,numeric,1.0,True
JPN_QSR_007,food service,Japan,Sukiya,Yoshinoya,2022-06-10,Japan Times,https://www.japantimes.co.jp/sukiya-delivery,service expansion,Expanded delivery partnerships (Uber/Wolt).,,,Limited,expanded,Yes,service response,20.0,Neutral,positive,oligopoly,No,Delivery competition.,1,0,20.0,missing,missing,4.0,False
JPN_QSR_008,food service,Japan,Sukiya,Yoshinoya,2023-02-15,Nikkei Asia,https://asia.nikkei.com/Sukiya-digital,digital promotion,Introduced app-based coupons.,Standard,Discounted,Standard,standard,Yes,digital coupon match,15.0,Neutral,positive,oligopoly,No,Digital engagement.,1,0,15.0,standard,discounted,1.0,False
JPN_QSR_009,food service,Japan,Sukiya,Yoshinoya,2023-11-01,Japan Times,https://www.japantimes.co.jp/sukiya-winter,menu promotion,"Launched winter ""Sukiyaki"" value bowls.",,¥780,,seasonal,Yes,menu response,10.0,Neutral,positive,oligopoly,No,Seasonal menu rivalry.,1,0,10.0,missing,numeric,3.0,False
JPN_QSR_010,food service,Japan,Sukiya,Yoshinoya,2024-05-10,Reuters,https://www.reuters.com/sukiya-price-rise,price increase,Raised prices amid labor cost pressures.,¥400,¥430,Standard,standard,Yes,price match,7.0,Neutral,negative,oligopoly,Yes,Labor-cost-driven hike.,1,1,7.0,numeric,numeric,1.0,False
JPN_QSR_011,food service,Japan,Yoshinoya,Sukiya,2018-08-20,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-menu,menu promotion,Introduced discounted set meals.,¥550,¥490,Standard,set,Yes,menu counter-offer,7.0,Neutral,positive,oligopoly,No,Value response.,1,0,7.0,numeric,numeric,,False
JPN_QSR_012,food service,Japan,Yoshinoya,Sukiya,2019-03-25,Japan Times,https://www.japantimes.co.jp/yoshinoya-tax,price adjustment,Adjusted prices following tax changes.,¥380,¥380,Standard,standard,Yes,parallel move,14.0,Neutral,neutral,oligopoly,Yes,Tax compliance.,1,1,14.0,numeric,numeric,1.0,True
JPN_QSR_013,food service,Japan,Yoshinoya,Sukiya,2019-11-10,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-winter,menu promotion,"Launched winter seasonal ""Gyusuki"" bowls.",,¥650,,seasonal,No,increased interest,,Neutral,positive,oligopoly,No,Seasonal menu focus.,0,0,,missing,numeric,3.0,False
JPN_QSR_014,food service,Japan,Yoshinoya,Sukiya,2020-05-05,Mainichi,https://mainichi.jp/yoshinoya-takeout,covid response,Expanded takeout discounts for families.,Standard,Discounted,Dine-in,takeout,Yes,takeout match,7.0,Neutral,positive,oligopoly,No,Pandemic operations.,1,0,7.0,standard,discounted,,False
JPN_QSR_015,food service,Japan,Yoshinoya,Sukiya,2021-02-20,Japan Times,https://www.japantimes.co.jp/yoshinoya-new-menu,menu expansion,Introduced premium black wagyu beef bowls.,¥426,¥600,Standard,premium,No,brand differentiation,,Neutral,positive,oligopoly,No,Premium positioning.,0,0,,numeric,numeric,4.0,False
JPN_QSR_016,food service,Japan,Yoshinoya,Sukiya,2021-11-10,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-price-hike,price increase,Raised prices due to import cost inflation.,¥387,¥426,Standard,standard,Yes,delayed price response,30.0,Neutral,negative,oligopoly,Yes,Cost pressures.,1,1,30.0,numeric,numeric,1.0,False
JPN_QSR_017,food service,Japan,Yoshinoya,Sukiya,2022-07-15,Japan Times,https://www.japantimes.co.jp/yoshinoya-delivery,service expansion,Expanded delivery services via Demae-can.,,,Limited,expanded,Yes,service response,20.0,Neutral,positive,oligopoly,No,Delivery competition.,1,0,20.0,missing,missing,4.0,False
JPN_QSR_018,food service,Japan,Yoshinoya,Sukiya,2023-03-10,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-digital,digital promotion,Launched mobile app coupons/points.,Standard,Discounted,Standard,standard,Yes,digital coupon match,15.0,Neutral,positive,oligopoly,No,Digital engagement.,1,0,15.0,standard,discounted,1.0,False
JPN_QSR_019,food service,Japan,Yoshinoya,Sukiya,2023-10-25,Japan Times,https://www.japantimes.co.jp/yoshinoya-autumn,menu promotion,Rolled out autumn seasonal menu.,,¥580,,seasonal,No,sales uplift,,Neutral,positive,oligopoly,No,Menu innovation.,0,0,,missing,numeric,3.0,False
JPN_QSR_020,food service,Japan,Yoshinoya,Sukiya,2024-04-20,Reuters,https://www.reuters.com/yoshinoya-price-rise,price increase,Raised menu prices amid wage inflation.,¥468,¥498,Standard,standard,Yes,price match,10.0,Neutral,negative,oligopoly,Yes,Labor-cost-driven hike.,1,1,10.0,numeric,numeric,1.0,False
