event_id,industry,country,initiating_company,responding_company,event_date,source_name,source_url,action_type,action_description,price_before,price_after,quantity_before,quantity_after,response_observed,response_type,response_lag_days,market_share_change_estimated,public_sentiment_shift,market_structure,regulatory_sensitivity,notes
JPN_QSR_002,Food Service,Japan,Sukiya,Yoshinoya,01-10-2019,Japan Times,https://www.japantimes.co.jp/consumption-tax-food,Price adjustment,Adjusted menu prices for 10% tax hike.,¥350,¥350,Standard,Standard,Yes,Parallel price move,0,Neutral,Neutral,Oligopoly,Yes,Unified tax-inclusive pricing.
JPN_QSR_003,Food Service,Japan,Sukiya,Yoshinoya,15-09-2019,Nikkei Asia,https://asia.nikkei.com/Sukiya-limited-menu,Menu promotion,Launched limited-time beef bowl discounts.,¥350,¥290,Standard,Standard,No,Increased footfall,N/A,Neutral,Positive,Oligopoly,No,Promotional differentiation.
JPN_QSR_004,Food Service,Japan,Sukiya,Yoshinoya,20-04-2020,Mainichi,https://mainichi.jp/sukiya-takeout,COVID response,Expanded takeout discounts during lockdowns.,Standard,Discounted,Dine-in,Takeout,Yes,Matching takeout offers,7,Neutral,Positive,Oligopoly,No,Pandemic response.
JPN_QSR_005,Food Service,Japan,Sukiya,Yoshinoya,15-01-2021,Japan Times,https://www.japantimes.co.jp/sukiya-menu,Menu expansion,Introduced value meal bundles (lunch sets).,¥600,¥500,Single Item,Bundle,No,Value perception improved,N/A,Neutral,Positive,Oligopoly,No,Value strategy.
JPN_QSR_006,Food Service,Japan,Sukiya,Yoshinoya,01-10-2021,Nikkei Asia,https://asia.nikkei.com/Sukiya-price-hike,Price increase,Raised prices due to beef cost inflation.,¥350,¥400,Standard,Standard,Yes,Delayed price hike,30,Neutral,Negative,Oligopoly,Yes,Cost-push inflation.
JPN_QSR_007,Food Service,Japan,Sukiya,Yoshinoya,10-06-2022,Japan Times,https://www.japantimes.co.jp/sukiya-delivery,Service expansion,Expanded delivery partnerships (Uber/Wolt).,NA,NA,Limited,Expanded,Yes,Service response,20,Neutral,Positive,Oligopoly,No,Delivery competition.
JPN_QSR_008,Food Service,Japan,Sukiya,Yoshinoya,15-02-2023,Nikkei Asia,https://asia.nikkei.com/Sukiya-digital,Digital promotion,Introduced app-based coupons.,Standard,Discounted,Standard,Standard,Yes,Digital coupon match,15,Neutral,Positive,Oligopoly,No,Digital engagement.
JPN_QSR_009,Food Service,Japan,Sukiya,Yoshinoya,01-11-2023,Japan Times,https://www.japantimes.co.jp/sukiya-winter,Menu promotion,"Launched winter ""Sukiyaki"" value bowls.",NA,¥780,NA,Seasonal,Yes,Menu response,10,Neutral,Positive,Oligopoly,No,Seasonal menu rivalry.
JPN_QSR_010,Food Service,Japan,Sukiya,Yoshinoya,10-05-2024,Reuters,https://www.reuters.com/sukiya-price-rise,Price increase,Raised prices amid labor cost pressures.,¥400,¥430,Standard,Standard,Yes,Price match,7,Neutral,Negative,Oligopoly,Yes,Labor-cost-driven hike.
JPN_QSR_011,Food Service,Japan,Yoshinoya,Sukiya,20-08-2018,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-menu,Menu promotion,Introduced discounted set meals.,¥550,¥490,Standard,Set,Yes,Menu counter-offer,7,Neutral,Positive,Oligopoly,No,Value response.
JPN_QSR_012,Food Service,Japan,Yoshinoya,Sukiya,25-03-2019,Japan Times,https://www.japantimes.co.jp/yoshinoya-tax,Price adjustment,Adjusted prices following tax changes.,¥380,¥380,Standard,Standard,Yes,Parallel move,14,Neutral,Neutral,Oligopoly,Yes,Tax compliance.
JPN_QSR_013,Food Service,Japan,Yoshinoya,Sukiya,10-11-2019,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-winter,Menu promotion,"Launched winter seasonal ""Gyusuki"" bowls.",NA,¥650,NA,Seasonal,No,Increased interest,N/A,Neutral,Positive,Oligopoly,No,Seasonal menu focus.
JPN_QSR_014,Food Service,Japan,Yoshinoya,Sukiya,05-05-2020,Mainichi,https://mainichi.jp/yoshinoya-takeout,COVID response,Expanded takeout discounts for families.,Standard,Discounted,Dine-in,Takeout,Yes,Takeout match,7,Neutral,Positive,Oligopoly,No,Pandemic operations.
JPN_QSR_015,Food Service,Japan,Yoshinoya,Sukiya,20-02-2021,Japan Times,https://www.japantimes.co.jp/yoshinoya-new-menu,Menu expansion,Introduced premium black wagyu beef bowls.,¥426,¥600,Standard,Premium,No,Brand differentiation,N/A,Neutral,Positive,Oligopoly,No,Premium positioning.
JPN_QSR_016,Food Service,Japan,Yoshinoya,Sukiya,10-11-2021,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-price-hike,Price increase,Raised prices due to import cost inflation.,¥387,¥426,Standard,Standard,Yes,Delayed price response,30,Neutral,Negative,Oligopoly,Yes,Cost pressures.
JPN_QSR_017,Food Service,Japan,Yoshinoya,Sukiya,15-07-2022,Japan Times,https://www.japantimes.co.jp/yoshinoya-delivery,Service expansion,Expanded delivery services via Demae-can.,NA,NA,Limited,Expanded,Yes,Service response,20,Neutral,Positive,Oligopoly,No,Delivery competition.
JPN_QSR_018,Food Service,Japan,Yoshinoya,Sukiya,10-03-2023,Nikkei Asia,https://asia.nikkei.com/Yoshinoya-digital,Digital promotion,Launched mobile app coupons/points.,Standard,Discounted,Standard,Standard,Yes,Digital coupon match,15,Neutral,Positive,Oligopoly,No,Digital engagement.
JPN_QSR_019,Food Service,Japan,Yoshinoya,Sukiya,25-10-2023,Japan Times,https://www.japantimes.co.jp/yoshinoya-autumn,Menu promotion,Rolled out autumn seasonal menu.,NA,¥580,NA,Seasonal,No,Sales uplift,N/A,Neutral,Positive,Oligopoly,No,Menu innovation.
JPN_QSR_020,Food Service,Japan,Yoshinoya,Sukiya,20-04-2024,Reuters,https://www.reuters.com/yoshinoya-price-rise,Price increase,Raised menu prices amid wage inflation.,¥468,¥498,Standard,Standard,Yes,Price match,10,Neutral,Negative,Oligopoly,Yes,Labor-cost-driven hike.
